"brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"FIAT",2014,79211,1.4,0,"Petrol","Front-wheel Drive",25,33,1,0,0,1,0,0,10999
"Toyota",2020,72893,3.5,1,"Petrol","Rear-wheel Drive",19,24,0,1,0,1,0,0,31474
"Volkswagen",2019,55306,2,1,"Petrol","Four-wheel Drive",20,31,0,0,1,1,0,1,28339
"Volvo",2019,38825,2,1,"Petrol","Four-wheel Drive",23,31,0,0,1,1,1,1,37500
"Mazda",2016,24136,2,1,"Petrol","Rear-wheel Drive",24,34,0,1,1,1,0,1,23800
"Mitsubishi",2013,101667,2,1,"Petrol","Four-wheel Drive",16,22,0,1,0,1,0,1,11989
"FIAT",2013,148681,1.4,0,"Petrol","Front-wheel Drive",28,34,0,0,1,1,0,1,7995
"Volkswagen",2015,100849,2,1,"Petrol","Front-wheel Drive",24,33,1,1,1,1,0,1,13450
"Lexus",2022,17759,2.4,1,"Petrol","Four-wheel Drive",15,19,0,1,0,0,0,1,42895
"Hyundai",2020,20284,2.4,1,"Petrol","Four-wheel Drive",24,29,0,1,1,1,0,1,27988
"Volvo",2020,47150,2,1,"Petrol","Four-wheel Drive",18,26,1,0,0,1,0,1,32934
"Ford",2020,38129,2,1,"Petrol","Four-wheel Drive",21,28,1,1,0,1,0,1,25371
"Kia",2016,140037,3.3,1,"Petrol","Front-wheel Drive",21,29,0,0,0,1,1,0,10500
"Cadillac",2015,80796,3.6,1,"Petrol","Rear-wheel Drive",17,26,0,1,1,1,0,1,17985
"Alfa",2020,32881,2,1,"Petrol","Four-wheel Drive",22,28,0,0,1,1,0,0,35918
"Jeep",2021,17993,3.6,1,"Petrol","Four-wheel Drive",17,23,0,0,1,1,1,1,42500
"Toyota",2018,40571,2,1,"Petrol","Front-wheel Drive",27,31,0,1,0,1,0,1,24995
"Jaguar",2020,23565,NA,1,"Petrol","Four-wheel Drive",21,28,0,0,1,1,0,1,52993
"BMW",2022,13525,2,1,"Petrol","Four-wheel Drive",24,31,0,0,1,1,0,1,35890
"Alfa",2022,11937,2,1,"Petrol","Four-wheel Drive",22,28,0,1,1,1,0,1,39000
"Mitsubishi",2020,35642,2.4,1,"Petrol","Front-wheel Drive",24,30,1,1,0,1,1,0,20990
"Alfa",2019,15361,2,1,"Petrol","Four-wheel Drive",22,28,0,0,1,1,0,1,33994
"Toyota",2014,148053,5.7,1,"Petrol","Four-wheel Drive",13,17,0,0,1,1,0,1,30600
"Jaguar",2015,81889,3,1,"Petrol","Four-wheel Drive",18,26,0,0,1,1,0,0,15695
"Alfa",2019,35643,2,1,"Petrol","Four-wheel Drive",22,28,1,1,0,1,0,0,26900
"Hyundai",2019,46520,2,0,"Petrol","Front-wheel Drive",18,24,0,0,0,1,0,0,28492
"Maserati",2018,44873,4.7,1,"Petrol","Rear-wheel Drive",11,18,0,1,1,1,0,0,53998
"Land",2018,52136,NA,1,"Petrol","Four-wheel Drive",14,19,0,0,1,1,0,0,27239
"Land",2020,33653,NA,1,"Petrol","Four-wheel Drive",22,29,0,1,1,1,0,0,38895
"Kia",2017,83608,3.3,1,"Petrol","Front-wheel Drive",24,35,1,0,0,1,1,0,19998
"Cadillac",2011,162210,3,1,"Petrol","Front-wheel Drive",15,21,0,0,0,1,0,1,7000
"Jeep",2014,84235,2,1,"Petrol","Front-wheel Drive",19,26,0,0,0,0,0,0,11498
"Alfa",2019,42718,2,1,"Petrol","Four-wheel Drive",23,31,0,1,0,1,0,0,26750
"MINI",2017,50752,2,1,"Petrol","Four-wheel Drive",26,32,1,0,0,1,0,0,20998
"Mitsubishi",2017,81813,1.2,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,0,0,0,9995
"Kia",2020,25911,2.4,1,"Petrol","Four-wheel Drive",20,26,0,1,0,1,0,0,26342
"Kia",2021,32486,2.5,1,"Petrol","Front-wheel Drive",27,37,0,1,1,1,1,1,35990
"Hyundai",2021,50034,1.6,1,"Petrol","Front-wheel Drive",45,51,NA,NA,0,1,0,1,26995
"Kia",2022,19689,2.5,1,"Petrol","Four-wheel Drive",17,24,0,1,1,1,1,1,43995
"Land",2019,36021,NA,1,"Petrol","Four-wheel Drive",17,22,0,1,1,1,0,0,49999
"Maserati",2013,43376,4.7,1,"Petrol","Rear-wheel Drive",13,20,0,0,1,1,0,1,43699
